region,year,n_countries,n_countries_with_pop,internet_ggi_direct_unweighted,internet_ggi_direct_pop_weighted,internet_ggi_coherent_mean_of_ratios_unweighted,internet_ggi_coherent_mean_of_ratios_pop_weighted,internet_ggi_coherent_ratio_of_means_unweighted,internet_ggi_coherent_ratio_of_means_pop_weighted,mobile_ggi_direct_unweighted,mobile_ggi_direct_pop_weighted,mobile_ggi_coherent_mean_of_ratios_unweighted,mobile_ggi_coherent_mean_of_ratios_pop_weighted,mobile_ggi_coherent_ratio_of_means_unweighted,mobile_ggi_coherent_ratio_of_means_pop_weighted
Latin America & Caribbean,2021,43,43,0.9716957364341083,0.9775877836157414,0.9739176325094546,0.9824357442821812,0.9739032519715132,0.9824208676082133,0.9951918604651163,0.996826695385989,0.9955047202959413,0.9966785756460209,0.9955043400390622,0.9966778540119088
Latin America & Caribbean,2022,43,43,0.9763023255813952,0.9827865193235105,0.975695572763675,0.9835081098263595,0.9756860899541381,0.9834992914891568,0.995437984496124,0.9968786431065131,0.9955769425286245,0.9964894098666994,0.9955771533256542,0.9964896232075616
Latin America & Caribbean,2023,43,43,0.9789864341085269,0.9862976751108684,0.9762697644965309,0.9844451960509761,0.9762813089434982,0.9844582127480761,0.9954999999999999,0.996844810346276,0.9955777420374583,0.9963496021265805,0.9955812757266653,0.9963540748562728
Latin America & Caribbean,2024,43,43,0.9864534883720929,0.9919740268118492,0.9791136609922609,0.985867509538808,0.9791170631028134,0.985870156063474,0.996687984496124,0.997630741817112,0.996610084718165,0.9973492394762247,0.9966107213620712,0.9973500195379276
Latin America & Caribbean,2025,43,0,0.9896821705426355,,0.9797615922515618,,0.9797599457430795,,0.9972655038759689,,0.9970360294639955,,0.9970362468042054,
Latin America & Caribbean,2026,43,0,0.9918744186046511,,0.9831097830030434,,0.9831097095178725,,0.9977906976744186,,0.9974024061391007,,0.9974026191518203,
Middle East & North Africa,2015,19,19,0.7999473684210525,0.7276640983072843,0.7801126346544782,0.7241685025911749,0.7801126346544782,0.7241685025911749,0.8950000000000001,0.8526303696700133,0.8938325408169459,0.8559572792078347,0.8938325408169459,0.8559572792078347
Middle East & North Africa,2016,19,19,0.8117894736842106,0.7471988192121073,0.7937233681906398,0.7384741688374241,0.7937233681906398,0.7384741688374241,0.9002105263157895,0.8609215793796213,0.8967521512390764,0.8594189691266578,0.8967521512390764,0.8594189691266578
Middle East & North Africa,2017,19,19,0.8218421052631579,0.7574737485407487,0.8063684433646006,0.746371389952413,0.8063684433646006,0.746371389952413,0.902421052631579,0.8620044874980524,0.9020422091094901,0.8637642423818788,0.9020422091094901,0.8637642423818788
Middle East & North Africa,2018,19,19,0.8292105263157894,0.7679797990559545,0.8119367742197041,0.7520080718047243,0.8119367742197041,0.7520080718047243,0.9057368421052632,0.8671503803341055,0.9066236850419782,0.8691265626982587,0.9066236850419782,0.8691265626982587
